级别编码,级别名称,分类编号,分类名称,厚度,长度,宽度,吨位差
00401705,淄博金晶F绿玻汽车级,004,色玻,4,3300,2140,0
00401704,淄博金晶F绿玻汽车级,004,色玻,3.5,3066,1888,0
00401703,淄博金晶F绿玻汽车级,004,色玻,3.5,3040,2000,0
00401702,淄博金晶F绿玻汽车级,004,色玻,2.3,3400,2200,0
00401701,淄博金晶F绿玻建筑级,004,色玻,5,3660,2440,0
00401700,淄博金晶F绿玻建筑级,004,色玻,5,3660,2140,0
00401699,株洲旗滨自然绿原片,004,色玻,5,3660,2440,0.2
00401698,株洲旗滨自然绿原片,004,色玻,4.5,3660,2440,0.2
00401697,株洲旗滨自然绿原片,004,色玻,4.5,2440,1830,0.2
00401696,株洲旗滨自然绿镀膜,004,色玻,5,3660,2440,0.2
00401695,株洲旗滨自然绿镀膜,004,色玻,4.5,3660,2440,0.2
00401694,株洲旗滨自然绿镀膜,004,色玻,4.5,2440,1830,0.2
00401693,株洲旗滨自然绿镀膜,004,色玻,3.2,2440,1900,0.2
00401692,株洲旗滨自然绿镀膜,004,色玻,3.2,2440,1830,0.2
00401691,株洲旗滨欧洲灰原片优等品,004,色玻,12,3660,2440,0.2
00401690,株洲旗滨欧洲灰原片优等品,004,色玻,10,3660,2800,0.2
00401689,株洲旗滨欧洲灰原片优等品,004,色玻,10,3660,2440,0.2
00401688,株洲旗滨欧洲灰原片优等品,004,色玻,4.4,2440,1830,0.2
00401687,株洲旗滨欧洲灰原片优等品,004,色玻,4,3660,2440,0.2
00401686,株洲旗滨欧洲灰原片优等品,004,色玻,4.5,3660,2440,0.2
00401685,株洲旗滨欧洲灰原片优等品,004,色玻,8,3660,2740,0.2
00401684,株洲旗滨欧洲灰原片优等品,004,色玻,8,3660,2440,0.2
00401683,株洲旗滨海洋蓝原片优等品,004,色玻,5,3660,2440,0.2
00401682,株洲旗滨海洋蓝原片优等品,004,色玻,4.5,3660,2440,0.2
00401681,株洲旗滨海洋蓝镀膜优等,004,色玻,8,3660,2440,0.2
00401680,株洲旗滨海洋蓝镀膜优等,004,色玻,6,3660,2740,0
00401679,株洲旗滨海洋蓝镀膜优等,004,色玻,6,3660,2600,0.2
00401678,株洲旗滨海洋蓝镀膜优等,004,色玻,6,3660,2440,0.2
00401677,株洲旗滨海洋蓝镀膜优等,004,色玻,6,3300,2440,0.2
00401676,株洲旗滨海洋蓝镀膜优等,004,色玻,5,3660,2440,0.2
00401675,株洲旗滨海洋蓝镀膜优等,004,色玻,5,3660,2250,0.2
00401674,株洲旗滨海洋蓝镀膜优等,004,色玻,5,3300,2440,0.2
00401673,株洲旗滨海洋蓝玻,004,色玻,6,3660,2440,0
00401672,株洲旗滨福特蓝原片优等品,004,色玻,6,3660,2630,0.2
00401671,株洲旗滨福特蓝原片优等品,004,色玻,6,3660,2440,0.2
00401670,株洲旗滨福特蓝原片优等品,004,色玻,6,3660,2140,0.2
00401669,株洲旗滨福特蓝原片优等品,004,色玻,5,3660,2740,0.2
00401668,株洲旗滨福特蓝原片优等品,004,色玻,5,3660,2440,0.2
00401667,株洲旗滨福特蓝原片优等品,004,色玻,5,3660,2250,0.2
00401666,株洲旗滨福特蓝原片优等品,004,色玻,5,3300,2440,0.2
00401665,株洲旗滨福特蓝原片优等品,004,色玻,6,3660,2740,0.2
00401664,株洲旗滨福特蓝镀膜优等品,004,色玻,8,3660,2800,0.2
00401663,株洲旗滨福特蓝镀膜优等品,004,色玻,8,3660,2740,0.2
00401662,株洲旗滨福特蓝镀膜优等品,004,色玻,8,3660,2600,0.2
00401661,株洲旗滨福特蓝镀膜优等品,004,色玻,8,3660,2440,0
00401660,株洲旗滨福特蓝镀膜优等品,004,色玻,8,3660,2140,0
00401659,株洲旗滨福特蓝镀膜优等品,004,色玻,6,3660,2800,0.2
00401658,株洲旗滨福特蓝镀膜优等品,004,色玻,6,3660,2740,0
00401657,株洲旗滨福特蓝镀膜优等品,004,色玻,6,3660,2630,0.2
00401656,株洲旗滨福特蓝镀膜优等品,004,色玻,6,3660,2600,0.2
00401655,株洲旗滨福特蓝镀膜优等品,004,色玻,6,3660,2440,0
00401654,株洲旗滨福特蓝镀膜优等品,004,色玻,6,3660,2250,0.2
00401653,株洲旗滨福特蓝镀膜优等品,004,色玻,6,3660,2140,0.2
00401652,株洲旗滨福特蓝镀膜优等品,004,色玻,5,3660,2800,0.2
00401651,株洲旗滨福特蓝镀膜优等品,004,色玻,5,3660,2740,0
00401650,株洲旗滨福特蓝镀膜优等品,004,色玻,5,3660,2630,0
00401649,株洲旗滨福特蓝镀膜优等品,004,色玻,5,3660,2600,0.2
00401648,株洲旗滨福特蓝镀膜优等品,004,色玻,5,3660,2440,0
00401647,株洲旗滨福特蓝镀膜优等品,004,色玻,5,3660,2140,0
00401646,株洲旗滨福特蓝镀膜优等品,004,色玻,4.5,3660,2740,0
00401645,株洲旗滨福特蓝镀膜优等品,004,色玻,4.5,3660,2440,0
00401644,株洲旗滨福特蓝玻优等品,004,色玻,8,3660,2440,0.2
00401643,株洲旗滨福特蓝玻优等品,004,色玻,6,3660,2600,0.2
00401642,株洲旗滨福特蓝玻,004,色玻,4.3,2440,1830,0
00401641,株洲旗滨翡翠绿原片优等品,004,色玻,5,3660,2440,0.2
00401640,株洲旗滨翡翠绿镀膜,004,色玻,5,3660,2440,0
00401639,株洲旗滨翡翠绿玻,004,色玻,6,3660,2440,0.2
00401638,株洲旗滨翡翠绿玻,004,色玻,4,3660,2440,0
00401637,株洲旗滨翡翠绿玻,004,色玻,4,2440,1830,0.2
00401636,株洲旗滨翡翠绿玻,004,色玻,3.2,2200,1650,0
00401635,株洲旗滨翡翠绿玻,004,色玻,3.2,2200,1370,0
00401634,株洲醴陵海洋蓝膜优等品,004,色玻,8,3660,2440,0.2
00401633,株洲醴琳旗滨翡翠绿镀膜,004,色玻,6,3660,2440,0.2
00401632,株洲醴琳旗滨翡翠绿玻,004,色玻,6,3660,2440,0
00401631,株州旗滨福特蓝镀膜优等品,004,色玻,6,3660,2800,0.2
00401630,株州旗滨福特蓝镀膜优等品,004,色玻,6,3600,2800,0.2
00401629,重庆渝荣福特蓝原片混装品,004,色玻,4.5,2440,1830,0
00401628,重庆渝荣福特蓝原片协议品,004,色玻,4.5,2440,1830,0
00401627,重庆福耀F绿汽车A级,004,色玻,5,3300,2440,0.2
00401626,重庆福耀F绿汽车A级,004,色玻,3.5,2900,1830,0
00401625,重庆福耀F绿汽车A级,004,色玻,3.5,2700,1830,0
00401624,重庆福耀F绿汽车A级,004,色玻,3.5,2600,1600,0
00401623,中建材F绿原片优等品,004,色玻,4.9,3050,2440,0
00401622,中建材F绿原片优等品,004,色玻,5,3660,2440,0.2
00401621,漳州信耀福特蓝镀膜优等品,004,色玻,4.5,3660,2440,0
00401620,漳州旗滨自然绿原片,004,色玻,6,3660,2440,0.2
00401619,漳州旗滨水晶灰原片KN,004,色玻,12,3660,2440,0.2
00401618,漳州旗滨水晶灰原片KN,004,色玻,8,3660,2740,0
00401617,漳州旗滨水晶灰原片KN,004,色玻,8,3660,2440,0.2
00401616,漳州旗滨水晶灰原片KN,004,色玻,8,3660,2250,0
00401615,漳州旗滨水晶灰原片KN,004,色玻,8,3660,2140,0.2
00401614,漳州旗滨水晶灰原片KN,004,色玻,8,3300,2740,0.2
00401613,漳州旗滨水晶灰原片KN,004,色玻,8,3300,2440,0
00401612,漳州旗滨水晶灰原片KN,004,色玻,8,3300,2250,0
00401611,漳州旗滨水晶灰原片KN,004,色玻,8,3300,2140,0.2
00401610,漳州旗滨水晶灰原片KN,004,色玻,8,2440,860,0.8
00401609,漳州旗滨水晶灰原片KN,004,色玻,7.2,2440,860,0.2
00401608,漳州旗滨水晶灰原片KN,004,色玻,6,3660,2746,0
00401607,漳州旗滨水晶灰原片KN,004,色玻,6,3660,2630,0.2
00401606,漳州旗滨水晶灰原片KN,004,色玻,6,3660,2440,0
00401605,漳州旗滨水晶灰原片KN,004,色玻,6,3660,2440,0.2
00401604,漳州旗滨水晶灰原片KN,004,色玻,6,3660,2250,0.2
00401603,漳州旗滨水晶灰原片KN,004,色玻,6,3660,2140,0
00401602,漳州旗滨水晶灰原片KN,004,色玻,6,3660,2080,0
00401601,漳州旗滨水晶灰原片KN,004,色玻,6,3660,2050,0
00401600,漳州旗滨水晶灰原片KN,004,色玻,6,3300,2250,0.2
00401599,漳州旗滨水晶灰原片KN,004,色玻,6,3300,1950,0
00401598,漳州旗滨水晶灰原片KN,004,色玻,5,3660,2746,0
00401597,漳州旗滨水晶灰原片KN,004,色玻,5,3660,2740,0
00401596,漳州旗滨水晶灰原片KN,004,色玻,5,3660,2630,0
00401595,漳州旗滨水晶灰原片KN,004,色玻,5,3660,2440,0
00401594,漳州旗滨水晶灰原片KN,004,色玻,5,3660,2440,0.2
00401593,漳州旗滨水晶灰原片KN,004,色玻,5,3660,2250,0.2
00401592,漳州旗滨水晶灰原片KN,004,色玻,5,3660,2134,0
00401591,漳州旗滨水晶灰原片KN,004,色玻,3.8,3660,2440,0
00401590,漳州旗滨水晶灰原片KN,004,色玻,3.5,3660,2440,0
00401589,漳州旗滨欧洲灰镀膜,004,色玻,5,3660,2440,0
00401588,漳州旗滨欧洲灰玻混装品,004,色玻,3.5,3660,2440,0
00401587,漳州旗滨欧洲灰玻混装品,004,色玻,3.8,3660,2440,0
00401586,漳州旗滨欧洲灰玻KN,004,色玻,12,3660,2440,0.2
00401585,漳州旗滨欧洲灰玻KN,004,色玻,10,3660,2740,0.2
00401584,漳州旗滨欧洲灰玻KN,004,色玻,10,3660,2630,0.2
00401583,漳州旗滨欧洲灰玻KN,004,色玻,10,3660,2440,0.2
00401582,漳州旗滨欧洲灰玻KN,004,色玻,8,3660,2571,0.2
00401581,漳州旗滨欧洲灰玻KN,004,色玻,8,3660,2440,0
00401580,漳州旗滨欧洲灰玻KN,004,色玻,8,3660,2250,0
00401579,漳州旗滨欧洲灰玻KN,004,色玻,8,3660,2140,0
00401578,漳州旗滨欧洲灰玻KN,004,色玻,8,3660,2134,0.2
00401577,漳州旗滨欧洲灰玻KN,004,色玻,7.7,3660,2440,0.2
00401576,漳州旗滨欧洲灰玻KN,004,色玻,7.5,3660,2440,0.2
00401575,漳州旗滨欧洲灰玻KN,004,色玻,7.2,3660,2440,0.2
00401574,漳州旗滨欧洲灰玻KN,004,色玻,7.2,3660,2250,0
00401573,漳州旗滨欧洲灰玻KN,004,色玻,7,3660,2440,0.2
00401572,漳州旗滨欧洲灰玻KN,004,色玻,7,3660,2250,0
00401571,漳州旗滨欧洲灰玻KN,004,色玻,6.7,3660,2440,0.2
00401570,漳州旗滨欧洲灰玻KN,004,色玻,6.7,3660,2250,0
00401569,漳州旗滨欧洲灰玻KN,004,色玻,6,3660,2740,0
00401568,漳州旗滨欧洲灰玻KN,004,色玻,6,3660,2630,0
00401567,漳州旗滨欧洲灰玻KN,004,色玻,6,3660,2440,0
00401566,漳州旗滨欧洲灰玻KN,004,色玻,6,3660,2250,0
00401565,漳州旗滨欧洲灰玻KN,004,色玻,6,3660,2140,0
00401564,漳州旗滨欧洲灰玻KN,004,色玻,5,3660,2925,0
00401563,漳州旗滨欧洲灰玻KN,004,色玻,5,3660,2746,0
00401562,漳州旗滨欧洲灰玻KN,004,色玻,5,3660,2630,0
00401561,漳州旗滨欧洲灰玻KN,004,色玻,5,3660,2440,0
00401560,漳州旗滨欧洲灰玻KN,004,色玻,5,3660,2440,0.2
00401559,漳州旗滨欧洲灰玻KN,004,色玻,5,3660,2250,0
00401558,漳州旗滨欧洲灰玻KN,004,色玻,4.5,3660,2440,0.2
00401557,漳州旗滨欧洲灰玻KN,004,色玻,4.5,2440,1950,0
00401556,漳州旗滨欧洲灰玻KN,004,色玻,4.5,2440,1830,0
00401555,漳州旗滨欧洲灰玻KN,004,色玻,4.3,3660,2440,0
00401554,漳州旗滨欧洲灰玻KN,004,色玻,4.3,2440,1830,0
00401553,漳州旗滨欧洲灰玻KN,004,色玻,4.2,3660,2440,0
00401552,漳州旗滨欧洲灰玻KN,004,色玻,4,3660,2440,0
00401551,漳州旗滨欧洲灰玻KN,004,色玻,3.8,3660,2440,0
00401550,漳州旗滨欧洲灰玻KN,004,色玻,3.8,3660,2440,0.2
00401549,漳州旗滨欧洲灰玻KN,004,色玻,3.8,3660,2250,0
00401548,漳州旗滨欧茶玻,004,色玻,8,3660,2440,0.2
00401547,漳州旗滨欧茶玻,004,色玻,7.1,3660,2440,0.2
00401546,漳州旗滨欧茶玻,004,色玻,7,3660,2440,0.2
00401545,漳州旗滨欧茶玻,004,色玻,4.5,3660,2440,0
00401544,漳州旗滨欧茶玻,004,色玻,4,3660,2440,0.2
00401543,漳州旗滨蓝星灰镀膜KN,004,色玻,8,3660,2440,0.2
00401542,漳州旗滨蓝星灰镀膜KN,004,色玻,6,3660,2740,0
00401541,漳州旗滨蓝星灰镀膜KN,004,色玻,6,3660,2630,0.2
00401540,漳州旗滨蓝星灰镀膜KN,004,色玻,6,3660,2440,0.2
00401539,漳州旗滨蓝星灰镀膜KN,004,色玻,6,3660,2140,0.2
00401538,漳州旗滨蓝星灰镀膜KN,004,色玻,6,3660,2134,0.2
00401537,漳州旗滨蓝星灰镀膜KN,004,色玻,5,3660,2746,0
00401536,漳州旗滨蓝星灰镀膜KN,004,色玻,5,3660,2630,0
00401535,漳州旗滨蓝星灰镀膜KN,004,色玻,5,3660,2440,0.2
00401534,漳州旗滨蓝星灰镀膜KN,004,色玻,4.5,3660,2746,0
00401533,漳州旗滨蓝星灰镀膜KN,004,色玻,4.5,3660,2440,0.2
00401532,漳州旗滨蓝星灰镀膜KN,004,色玻,4.5,3660,2250,0.2
00401531,漳州旗滨蓝星灰玻KN,004,色玻,6,3660,2746,0
00401530,漳州旗滨蓝星灰玻KN,004,色玻,6,3660,2630,0
00401529,漳州旗滨蓝星灰玻KN,004,色玻,6,3660,2440,0
00401528,漳州旗滨蓝星灰玻KN,004,色玻,6,3660,2440,0.2
00401527,漳州旗滨蓝星灰玻KN,004,色玻,6,3660,2250,0
00401526,漳州旗滨蓝星灰玻KN,004,色玻,6,3660,2140,0
00401525,漳州旗滨蓝星灰玻KN,004,色玻,6,3660,2003,0
00401524,漳州旗滨蓝星灰玻KN,004,色玻,5,3660,2740,0
00401523,漳州旗滨蓝星灰玻KN,004,色玻,5,3660,2630,0
00401522,漳州旗滨蓝星灰玻KN,004,色玻,5,3660,2440,0
00401521,漳州旗滨蓝星灰玻KN,004,色玻,5,3660,2140,0
00401520,漳州旗滨蓝星灰玻KN,004,色玻,5,3660,2134,0
00401519,漳州旗滨蓝星灰玻KN,004,色玻,4.5,3660,2440,0
00401518,漳州旗滨蓝星灰玻KN,004,色玻,4.5,3660,2440,0.2
00401517,漳州旗滨蓝星灰玻KN,004,色玻,4.5,3660,2200,0
00401516,漳州旗滨蓝星灰玻KN,004,色玻,4.2,3660,2440,0
00401515,漳州旗滨蓝星灰玻KN,004,色玻,3.8,3660,2440,0
00401514,漳州旗滨金茶玻KN,004,色玻,8,3660,2440,0
00401513,漳州旗滨金茶玻KN,004,色玻,6,3660,2440,0.2
00401512,漳州旗滨金茶玻KN,004,色玻,5,3660,2440,0.2
00401511,漳州旗滨金茶玻KN,004,色玻,4.5,3660,2440,0.2
00401510,漳州旗滨金茶玻KN,004,色玻,4.3,3660,2440,0.2
00401509,漳州旗滨金茶玻KN,004,色玻,3.5,3660,2440,0
00401508,漳州旗滨灰茶原片优等品,004,色玻,3.8,3660,2440,0.2
00401507,漳州旗滨灰茶原片优等品,004,色玻,3.8,2440,1920,0.2
00401506,漳州旗滨灰茶原片优等品,004,色玻,3.8,2440,1740,0.2
00401505,漳州旗滨福特蓝镀膜KN,004,色玻,8,3660,2440,0
00401504,漳州旗滨福特蓝镀膜KN,004,色玻,8,3660,2134,0.2
00401503,漳州旗滨福特蓝镀膜KN,004,色玻,6,3660,2800,0.2
00401502,漳州旗滨福特蓝镀膜KN,004,色玻,6,3660,2746,0
00401501,漳州旗滨福特蓝镀膜KN,004,色玻,6,3660,2740,0
00401500,漳州旗滨福特蓝镀膜KN,004,色玻,6,3660,2630,0
00401499,漳州旗滨福特蓝镀膜KN,004,色玻,6,3660,2440,0
00401498,漳州旗滨福特蓝镀膜KN,004,色玻,6,3660,2250,0
00401497,漳州旗滨福特蓝镀膜KN,004,色玻,6,3660,2140,0
00401496,漳州旗滨福特蓝镀膜KN,004,色玻,6,3660,1700,0.2
00401495,漳州旗滨福特蓝镀膜KN,004,色玻,5,3660,2800,0.2
00401494,漳州旗滨福特蓝镀膜KN,004,色玻,5,3660,2746,0
00401493,漳州旗滨福特蓝镀膜KN,004,色玻,5,3660,2740,0
00401492,漳州旗滨福特蓝镀膜KN,004,色玻,5,3660,2630,0
00401491,漳州旗滨福特蓝镀膜KN,004,色玻,5,3660,2440,0.2
00401490,漳州旗滨福特蓝镀膜KN,004,色玻,5,3660,2440,0
00401489,漳州旗滨福特蓝镀膜KN,004,色玻,5,3660,2250,0
00401488,漳州旗滨福特蓝镀膜KN,004,色玻,5,3660,2140,0.2
00401487,漳州旗滨福特蓝镀膜KN,004,色玻,5,3300,2440,0
00401486,漳州旗滨福特蓝镀膜KN,004,色玻,4.5,3660,2746,0
00401485,漳州旗滨福特蓝镀膜KN,004,色玻,4.5,3660,2630,0
00401484,漳州旗滨福特蓝镀膜KN,004,色玻,4.5,3660,2440,0
00401483,漳州旗滨福特蓝镀膜KN,004,色玻,4.5,2440,2000,0
00401482,漳州旗滨福特蓝镀膜KN,004,色玻,4.5,2440,1830,0
00401481,漳州旗滨福特蓝镀膜KN,004,色玻,4.5,2440,1650,0
00401480,漳州旗滨福特蓝镀膜KN,004,色玻,4.3,3660,2440,0.2
00401479,漳州旗滨福特蓝镀膜KN,004,色玻,4.3,3660,2440,0
00401478,漳州旗滨福特蓝镀膜KN,004,色玻,4.3,2440,1950,0.2
00401477,漳州旗滨福特蓝镀膜KN,004,色玻,4.3,2440,1830,0.2
00401476,漳州旗滨福特蓝镀膜KN,004,色玻,4.3,2440,1830,0
00401475,漳州旗滨福特蓝玻混装品,004,色玻,4.5,3660,2440,0
00401474,漳州旗滨福特蓝玻过渡色,004,色玻,3.8,3660,2440,0
00401473,漳州旗滨福特蓝玻KN,004,色玻,8,3660,2440,0
00401472,漳州旗滨福特蓝玻KN,004,色玻,6,3660,2746,0
00401471,漳州旗滨福特蓝玻KN,004,色玻,6,3660,2630,0
00401470,漳州旗滨福特蓝玻KN,004,色玻,6,3660,2440,0
00401469,漳州旗滨福特蓝玻KN,004,色玻,5,3660,2746,0
00401468,漳州旗滨福特蓝玻KN,004,色玻,5,3660,2740,0
00401467,漳州旗滨福特蓝玻KN,004,色玻,5,3660,2630,0
00401466,漳州旗滨福特蓝玻KN,004,色玻,5,3660,2603,0
00401465,漳州旗滨福特蓝玻KN,004,色玻,5,3660,2440,0
00401464,漳州旗滨福特蓝玻KN,004,色玻,5,3660,2250,0
00401463,漳州旗滨福特蓝玻KN,004,色玻,5,3660,2140,0
00401462,漳州旗滨福特蓝玻KN,004,色玻,5,3660,2134,0
00401461,漳州旗滨福特蓝玻KN,004,色玻,4.5,3660,2746,0
00401460,漳州旗滨福特蓝玻KN,004,色玻,4.5,3660,2440,0
00401459,漳州旗滨福特蓝玻KN,004,色玻,4.5,2440,1830,0
00401458,漳州旗滨福特蓝玻KN,004,色玻,4.3,3660,2746,0
00401457,漳州旗滨福特蓝玻KN,004,色玻,4.3,3660,2440,0
00401456,漳州旗滨福特蓝玻KN,004,色玻,4.3,2440,1830,0
00401455,漳州旗滨欧洲灰玻,004,色玻,4.3,3660,2440,0
00401454,漳州旗滨蓝星灰镀膜优等品,004,色玻,6,3660,2440,0.2
00401453,漳州旗滨蓝星灰镀膜优等品,004,色玻,4.5,3660,2746,0.2
00401452,漳州旗滨蓝星灰镀膜优等品,004,色玻,4.5,3660,2630,0.2
00401451,漳州旗滨蓝星灰镀膜优等品,004,色玻,4.5,3660,2250,0.2
00401450,营口信义欧洲灰原片优质加工级,004,色玻,7.4,3660,2440,0.2
00401449,营口信义欧洲灰原片优质加工级,004,色玻,7.5,3660,2440,0.2
00401448,营口信义欧洲灰原片普通级,004,色玻,10,3660,2440,0.2
00401447,营口信义欧洲灰原片普通级,004,色玻,7.4,3660,2440,0.2
00401446,营口信义欧洲灰原片混装品,004,色玻,5,3660,2440,0.2
00401445,耀皮黑玻20系,004,色玻,7,3660,2440,0.2
00401444,耀皮黑玻20系,004,色玻,4.8,3660,2440,0.2
00401443,耀皮黑玻20系,004,色玻,4.5,3660,2440,0.2
00401442,耀华金茶原片优等品,004,色玻,4.3,3660,2440,0.2
00401441,阳光膜浅蓝色,004,色玻,6,3660,2134,0.2
00401440,信义黑玻汽车级PG20,004,色玻,4,3660,2440,0.2
00401439,信义黑玻普通级PT,004,色玻,4,2440,1830,0.2
00401438,信义黑玻20系,004,色玻,4,3660,2440,0.2
00401437,咸阳中玻欧洲灰玻优质加工级,004,色玻,8,3660,2440,0
00401436,咸阳中玻欧洲灰玻优质加工级,004,色玻,7.5,3660,2440,0
00401435,咸阳中玻欧洲灰玻优质加工级,004,色玻,7.2,3660,2250,0
00401434,咸阳中玻欧洲灰玻优质加工级,004,色玻,7,3660,2440,0
00401433,咸阳中玻欧洲灰玻优质加工级,004,色玻,7,3660,2140,0
00401432,咸阳中玻欧洲灰玻优质加工级,004,色玻,3.8,3660,2140,0
00401431,咸阳中玻欧洲灰玻普通级,004,色玻,7.5,3660,2440,0
00401430,咸阳中玻欧洲灰玻普通级,004,色玻,5,3660,2440,0
00401429,咸阳中玻福特蓝在线sunE优等品,004,色玻,5,3660,2440,0
00401428,咸阳中玻福特蓝在线sunE优等品,004,色玻,5,3660,2200,0
00401427,咸阳中玻福特蓝在线sunE混装品,004,色玻,5,3660,2440,0
00401426,咸阳中玻福特蓝原片优质加工级,004,色玻,8,3660,2600,0
00401425,咸阳中玻福特蓝原片优质加工级,004,色玻,8,3660,2440,0
00401424,咸阳中玻福特蓝原片优质加工级,004,色玻,6,3660,2600,0
00401423,咸阳中玻福特蓝原片优质加工级,004,色玻,4.4,3660,2440,0
00401422,咸阳中玻福特蓝原片优质加工级,004,色玻,6,3660,2700,0.2
00401421,咸阳中玻福特蓝原片优质加工级,004,色玻,6,3660,2440,0
00401420,咸阳中玻福特蓝原片优质加工级,004,色玻,6,3660,2440,0.2
00401419,咸阳中玻福特蓝原片优质加工级,004,色玻,6,3660,2200,0
00401418,咸阳中玻福特蓝原片优质加工级,004,色玻,5,3660,2440,0
00401417,咸阳中玻福特蓝原片优质加工级,004,色玻,5,3660,2440,0.2
00401416,咸阳中玻福特蓝原片优质加工级,004,色玻,5,3660,2200,0.2
00401415,咸阳中玻福特蓝原片优质加工级,004,色玻,5,3300,2440,0.2
00401414,咸阳中玻福特蓝原片优质加工级,004,色玻,4.5,3660,2600,0.2
00401413,咸阳中玻福特蓝原片优质加工级,004,色玻,4.5,3660,2440,0
00401412,咸阳中玻福特蓝原片优质加工级,004,色玻,4.5,3660,2200,0
00401411,咸阳中玻福特蓝原片优质加工级,004,色玻,4.5,3300,2440,0
00401410,咸阳中玻福特蓝原片优质加工级,004,色玻,4.5,3300,2000,0
00401409,咸阳中玻福特蓝原片优质加工级,004,色玻,4.5,2440,1830,0
00401408,咸阳中玻福特蓝原片优质加工级,004,色玻,4.4,2440,1830,0
00401407,咸阳中玻福特蓝原片普通级,004,色玻,6,3660,2600,0
00401406,咸阳中玻福特蓝原片普通级,004,色玻,6,3660,2440,0
00401405,咸阳中玻福特蓝原片普通级,004,色玻,6,3660,2200,0
00401404,咸阳中玻福特蓝原片普通级,004,色玻,5,3660,2440,0
00401403,咸阳中玻福特蓝原片普通级,004,色玻,5,3300,2440,0
00401402,咸阳中玻福特蓝原片普通级,004,色玻,4.5,3660,2600,0
00401401,咸阳中玻福特蓝原片普通级,004,色玻,4.5,3660,2440,0
00401400,咸阳中玻福特蓝原片普通级,004,色玻,4.5,3660,2200,0
00401399,咸阳中玻福特蓝原片普通级,004,色玻,4.5,3300,2440,0
00401398,咸阳中玻福特蓝原片普通级,004,色玻,4.5,2440,1830,0
00401397,咸阳中玻福特蓝原片普通级,004,色玻,4.4,2440,1830,0
00401396,咸阳中玻福特蓝原片客户定制,004,色玻,6,3660,2440,0
00401395,咸阳中玻福特蓝原片客户定制,004,色玻,5,3660,2440,0
00401394,咸阳中玻福特蓝原片客户定制,004,色玻,5,3660,2200,0
00401393,咸阳中玻福特蓝原片客户定制,004,色玻,4.5,3660,2440,0
00401392,咸阳中玻福特蓝原片客户定制,004,色玻,4.5,3660,2200,0
00401391,咸阳中玻福特蓝原片客户定制,004,色玻,4.5,3300,2000,0
00401390,咸阳中玻福特蓝原片客户定制,004,色玻,4.5,2440,1830,0
00401389,咸阳中玻福特蓝原片客户定制,004,色玻,4.4,3660,2440,0
00401388,咸阳中玻福特蓝原片混装品,004,色玻,6,3660,2600,0
00401387,咸阳中玻福特蓝原片混装品,004,色玻,4.5,3660,2440,0
00401386,咸阳中玻福特蓝原片混装品,004,色玻,4.5,2440,1830,0
00401385,咸阳中玻福特蓝镀膜优等品,004,色玻,8,3660,2800,0
00401384,咸阳中玻福特蓝镀膜优等品,004,色玻,8,3660,2600,0
00401383,咸阳中玻福特蓝镀膜优等品,004,色玻,8,3660,2440,0
00401382,咸阳中玻福特蓝镀膜优等品,004,色玻,6,3660,2800,0
00401381,咸阳中玻福特蓝镀膜优等品,004,色玻,6,3660,2600,0
00401380,咸阳中玻福特蓝镀膜优等品,004,色玻,6,3660,2440,0
00401379,咸阳中玻福特蓝镀膜优等品,004,色玻,6,3660,2200,0
00401378,咸阳中玻福特蓝镀膜优等品,004,色玻,5,3660,2800,0
00401377,咸阳中玻福特蓝镀膜优等品,004,色玻,5,3660,2600,0
00401376,咸阳中玻福特蓝镀膜优等品,004,色玻,5,3660,2440,0
00401375,咸阳中玻福特蓝镀膜优等品,004,色玻,4.5,3660,2600,0
00401374,咸阳中玻福特蓝镀膜优等品,004,色玻,4.5,3660,2440,0
00401373,咸阳中玻福特蓝镀膜优等品,004,色玻,4.5,3660,2200,0
00401372,咸阳中玻福特蓝镀膜优等品,004,色玻,4.5,3300,2440,0
00401371,咸阳中玻福特蓝镀膜协议品,004,色玻,5,3660,2440,0
00401370,咸阳中玻福特蓝镀膜混装品,004,色玻,6,3660,2700,0
00401369,咸阳中玻福特蓝镀膜混装品,004,色玻,6,3660,2440,0
00401368,咸阳中玻福特蓝镀膜混装品,004,色玻,6,3660,2200,0
00401367,咸阳中玻福特蓝镀膜混装品,004,色玻,6,3300,2440,0
00401366,咸阳中玻福特蓝镀膜混装品,004,色玻,5,3660,2440,0
00401365,咸阳中玻福特蓝镀膜混装品,004,色玻,4.5,3660,2440,0
00401364,咸阳中玻福特蓝玻优质加工级,004,色玻,6,3660,2440,0
00401363,咸阳中玻福特蓝玻优质加工级,004,色玻,4.3,3660,2600,0
00401362,咸阳中玻福特蓝玻优质加工级,004,色玻,4.3,3660,2440,0
00401361,咸阳中玻福特蓝玻优质加工级,004,色玻,4.3,3660,2200,0
00401360,咸阳中玻福特蓝玻优质加工级,004,色玻,4.3,3300,2440,0
00401359,咸阳中玻福特蓝玻优质加工级,004,色玻,4.5,3660,2600,0
00401358,咸阳中玻福特蓝玻优质加工级,004,色玻,4.2,3660,2440,0
00401357,咸阳中玻福特蓝玻普通级,004,色玻,8,3660,2600,0
00401356,咸阳中玻福特蓝玻普通级,004,色玻,8,3600,2600,0
00401355,咸阳中玻福特蓝玻普通级,004,色玻,4.3,3660,2600,0
00401354,咸阳中玻福特蓝玻普通级,004,色玻,4.3,3660,2200,0
